,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,231,375,248,2986,2601,2462,211,2384,606,1227,273,1039,529,239,208,2178,1548,271,1270,192,2306,1159,131,262,1662,2200,274,743,353,2896,165,387,510,963,179,1926,384,295,840,610,134,956,311,348,256,1145,203,274,1061,3576,439,1402,608,874,862,1063,2560,438,138,1123,339,347,598,1276
1,548,302,2166,2375,568,146,328,3319,855,1461,386,658,3395,586,343,2126,265,1028,1821,622,575,1676,485,620,904,625,179,276,291,1152,1523,249,331,2020,813,433,480,213,566,2700,3583,1484,3892,313,1169,413,552,408,385,204,348,2863,989,1169,272,1683,157,968,456,638,2853,482,908,804
2,152,557,254,454,2693,2287,621,522,259,2226,1632,189,1282,465,742,387,330,197,709,1334,888,734,435,172,1699,972,335,2504,1308,351,5139,337,1491,811,490,380,319,421,2131,1667,1372,510,270,541,234,399,777,620,362,360,2588,666,453,530,1598,285,434,388,464,1543,2090,2981,319,743
3,1449,464,1108,294,1374,884,157,464,2238,500,1122,1512,1790,462,1471,561,274,259,2983,663,5078,1595,363,155,866,492,1550,221,594,1078,619,1997,362,751,374,3082,186,396,3725,2004,307,2667,285,4534,320,511,2128,935,335,324,1188,438,1429,1418,1908,673,271,432,1007,307,230,3179,251,2831
4,149,840,173,1013,2099,851,232,577,260,1695,359,1237,2022,671,160,217,732,217,1876,431,736,749,1317,914,2733,267,905,421,185,1036,834,1435,171,1497,2525,208,2638,520,935,384,580,1059,2355,128,483,585,453,181,441,1746,259,1554,328,460,1149,1346,675,234,1011,1103,2014,1602,2019,359
5,3773,619,440,224,2110,180,1500,331,1819,2146,648,311,976,1784,1530,397,338,1585,1848,332,833,347,590,1415,420,1591,418,292,296,488,963,292,154,592,1005,348,2542,3162,2172,364,320,1144,812,465,484,451,221,626,1114,1131,285,2633,1315,424,229,303,295,397,2223,3342,362,539,758,2581
6,174,375,514,249,648,170,512,322,420,344,1743,424,286,317,409,438,1036,216,928,1029,338,1151,736,1080,991,215,915,654,2411,1744,1322,279,275,272,573,144,380,1938,266,1204,2889,506,263,304,869,746,451,916,2602,2427,4283,316,299,422,266,269,730,163,1703,3601,2033,177,548,2505
7,761,434,459,192,1369,543,468,4488,228,1398,221,921,525,426,1335,608,398,776,860,206,223,754,764,1293,390,487,352,739,454,3212,313,361,373,2864,168,265,3796,454,692,1595,314,391,1598,399,456,3205,382,2548,330,582,240,433,271,210,262,759,629,814,270,552,180,1577,851,204
8,624,578,1281,521,2012,783,380,1111,323,273,771,640,321,291,162,582,791,444,349,1159,1105,384,3210,684,285,2696,302,1653,372,658,840,1371,712,412,462,459,759,2487,198,814,1927,321,312,274,2732,612,253,792,1495,423,264,230,409,405,198,784,1015,955,2719,1218,239,379,296,834
9,233,926,830,170,495,3586,647,653,154,554,394,209,184,590,1709,748,2225,1706,483,311,388,3968,200,1645,650,406,1335,3041,171,215,147,1007,284,218,273,245,1849,1605,1408,272,219,727,840,1328,271,1585,501,220,222,212,739,371,3560,371,2061,2262,1837,594,269,648,622,169,382,2820
10,267,343,191,166,1409,445,328,228,2263,1117,1782,2286,1691,190,304,352,478,3666,594,473,500,605,855,1251,1707,271,1260,244,482,1023,142,1191,1354,428,757,431,231,1495,340,436,3595,599,1778,485,655,337,230,179,319,1890,547,243,3366,158,137,355,1444,259,412,401,464,175,731,162
11,841,2661,1201,348,231,2005,198,1232,1689,173,203,1213,1188,352,1207,592,731,422,1221,326,590,934,400,1408,488,648,1046,195,2604,745,1411,881,2985,3090,892,487,381,664,210,2411,675,285,500,866,519,658,556,294,328,504,671,534,402,325,598,159,739,823,219,1488,464,283,437,785
12,2877,246,1307,269,679,1160,958,365,403,1244,4190,1007,324,1156,243,269,1062,3661,285,322,204,1303,695,650,563,4132,300,984,881,2412,393,169,310,312,552,3343,159,103,588,336,2913,166,188,549,4113,766,900,1253,255,821,218,2594,395,896,2172,617,828,2303,930,636,338,922,388,3015
13,874,1385,297,378,212,350,309,121,2075,552,1088,638,2016,1147,1708,172,763,190,725,665,256,4132,1551,158,945,504,1237,452,331,1858,515,209,1799,369,768,2657,924,133,983,425,550,308,570,867,1539,579,444,282,266,534,216,856,292,980,247,209,1025,794,240,389,543,3121,679,392
14,390,3871,2160,781,611,2991,296,540,679,3039,1985,353,605,2356,784,385,2147,155,341,1738,1009,1656,136,561,840,2395,3037,3113,340,450,136,2397,269,198,231,347,297,1202,403,1398,3683,627,537,212,639,1835,599,392,172,345,936,212,546,620,293,457,218,178,746,1208,361,3062,136,362
15,1231,1946,299,1022,1245,367,659,919,247,290,770,941,3343,240,342,450,3298,3284,222,262,2530,272,302,375,1348,309,209,130,1163,89,337,644,536,2883,1100,226,3844,1811,348,313,2188,537,411,1936,266,3044,439,1101,514,1258,370,839,413,208,803,253,150,336,474,2879,507,279,336,1281
16,160,760,323,784,985,911,332,355,1637,1712,243,117,199,2120,144,1110,2465,824,123,254,2181,401,474,2678,384,862,177,304,215,126,397,3669,3469,371,202,563,257,1227,1894,604,938,118,607,663,2005,4255,1570,1022,221,1267,1017,550,1445,270,1568,167,212,472,1584,339,1106,409,615,269
17,500,4896,1306,371,127,2539,571,777,4215,896,654,415,592,359,843,459,339,310,442,175,246,3131,922,611,342,376,1592,2228,1069,157,229,987,824,446,787,2997,1356,474,3709,508,382,343,1129,413,740,2815,784,138,2101,379,286,4281,289,222,670,510,2305,1368,516,222,1458,214,993,384
