0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
575,633,543,376,1159,398,543,628,772,890,858,1279,637,1133,614,702
1189,294,572,788,536,744,977,473,853,504,590,459,1346,422,464,686
472,1338,655,547,598,643,538,599,754,805,618,501,356,1347,284,384
3048,664,2303,1248,1162,1235,2186,972,554,693,1349,728,801,545,1394,2322
280,358,403,267,269,364,311,299,458,363,423,350,688,274,555,349
658,601,369,599,1151,499,1496,900,798,575,937,508,1060,575,309,551
1446,1484,928,732,804,554,2115,1724,881,1495,1006,2048,705,1027,1077,839
836,467,698,412,566,2552,492,1333,909,315,420,941,1734,612,568,2000
411,445,1322,379,520,278,321,458,872,377,807,454,489,326,469,595
840,1047,370,337,1006,715,691,443,427,699,452,483,456,646,300,438
438,407,929,679,926,816,704,450,489,541,438,669,521,822,483,397
845,1386,509,525,1038,494,1047,1588,744,1019,1769,1703,485,692,930,1862
904,821,472,335,393,289,978,804,403,263,410,433,1067,403,525,874
323,713,238,221,533,986,930,259,292,555,2846,293,1733,1067,907,372
827,655,560,569,557,2024,1406,417,284,1915,980,586,768,1978,885,638
711,461,1414,628,1649,522,530,595,355,456,353,1384,741,3045,510,1644
884,616,941,1383,484,836,323,1305,2511,3084,1014,1290,1320,941,815,681
614,518,932,1070,475,486,1119,1083,790,466,859,459,743,1111,299,515
419,415,591,229,230,220,492,362,629,286,325,374,361,290,290,335
1979,638,1199,1309,744,1052,2678,299,1144,1721,1051,579,612,968,989,716
723,809,673,701,303,809,306,406,873,497,787,479,548,884,327,812
306,1079,826,468,479,691,651,731,1173,492,326,1099,793,520,396,483
426,593,362,800,428,402,358,244,367,551,275,664,1524,462,931,321
343,968,458,830,431,509,291,590,961,279,649,902,482,820,268,2263
488,710,2500,411,544,1633,347,677,679,804,2332,1284,360,2864,823,1243
548,573,702,1108,773,637,555,539,717,1056,180,577,455,373,826,473
313,1071,832,614,655,276,753,345,1439,470,1140,420,439,255,549,360
888,914,597,329,1242,999,452,1174,518,347,1953,2039,460,842,947,468
893,447,515,554,638,495,840,456,762,525,387,465,449,451,697,491
403,284,670,421,654,1164,659,687,318,234,223,759,432,479,374,499
728,539,1149,1007,872,1508,487,540,719,400,1096,781,564,659,604,989
389,2417,755,656,2114,2027,831,509,1177,1685,459,1057,923,363,1022,540
623,450,228,811,528,273,2390,253,272,309,454,1258,391,324,335,548
576,271,1087,484,1087,370,473,371,147,323,908,424,402,516,246,411
1016,707,446,800,1341,835,757,997,560,659,472,467,764,992,570,564
1022,413,575,668,609,561,238,555,219,876,489,627,923,1714,569,524
1197,522,396,338,714,460,392,1588,942,406,713,623,356,1130,262,762
700,1146,697,1139,964,921,799,590,793,414,698,409,543,769,1112,771
558,1179,2243,510,823,781,500,589,426,1320,624,440,1436,775,685,985
727,426,385,404,280,690,332,612,411,426,366,749,503,756,1469,416
774,551,695,627,792,857,472,368,933,1621,1141,2240,1285,903,597,995
608,768,608,339,917,578,570,693,597,699,596,286,465,394,555,857
431,389,878,884,611,683,606,541,1108,589,576,438,268,572,434,1567
642,671,1068,473,2586,495,709,575,620,397,1054,567,824,615,932,577
764,360,320,341,364,592,563,1221,1143,503,466,387,576,1081,347,882
1401,436,1496,1095,258,406,531,355,645,1805,484,456,337,353,319,612
774,573,814,374,210,160,993,426,400,311,339,463,371,420,447,457
504,487,1394,452,408,447,488,1223,427,396,994,400,243,346,164,728
1074,893,1273,628,682,410,435,1202,316,454,460,415,908,810,837,861
289,774,1114,527,557,759,1635,597,1096,472,669,732,913,767,543,1121
483,815,854,1706,996,1389,671,766,730,295,1055,1127,725,813,566,579
792,1837,736,508,336,491,665,1173,572,800,523,671,1219,414,544,790
227,751,371,406,875,420,742,537,998,379,1781,293,460,219,588,780
373,608,1085,596,715,539,968,331,710,596,607,929,781,375,487,962
7841,438,524,1203,821,456,1088,589,985,481,725,1220,1834,1129,582,727
1210,510,365,2878,1023,1062,731,1785,665,811,1336,651,746,922,847,660
502,1345,499,373,1077,215,240,676,259,915,532,224,781,498,393,591
739,852,682,672,496,571,622,597,1164,578,951,733,571,581,1812,400
1440,545,1108,822,636,553,381,830,574,1059,719,328,743,598,654,336
414,407,391,560,1337,1064,767,247,664,575,795,435,605,325,432,326
543,262,486,735,838,444,1259,799,794,450,711,1289,2280,1316,930,428
1259,1206,928,2530,749,1088,638,544,1471,1142,615,1091,1008,552,1866,701
468,289,1334,186,525,564,205,641,418,380,460,287,371,316,495,794
487,730,342,1074,724,291,1841,858,545,2198,810,517,256,712,493,949
1454,353,803,262,231,314,284,607,961,658,432,544,500,669,1060,525
539,483,300,296,567,1111,280,640,394,633,703,704,871,485,1305,661
435,745,921,442,495,400,485,362,415,1567,427,679,348,595,781,787
1705,2302,719,1067,1095,331,586,1244,937,506,393,1065,760,465,1573,451
563,416,783,505,575,634,229,532,1114,730,809,828,653,1255,442,672
718,522,1658,1082,1362,375,734,1642,2073,721,1439,623,397,294,400,2278
547,458,438,329,568,674,782,395,644,1283,1020,727,548,828,683,237
1277,289,599,754,757,737,377,1113,1417,353,762,392,686,501,497,575
1190,519,243,571,573,778,814,1060,453,518,377,1014,369,618,858,453
375,1253,723,623,1406,540,1162,421,893,591,1388,2523,424,1050,624,1626
503,314,787,488,1999,776,375,562,586,381,396,626,473,457,1500,435
506,1054,369,638,1111,913,515,301,1001,790,1087,875,777,4294,551,1798
582,543,1172,538,476,383,660,466,818,612,548,1283,678,360,363,576
631,412,749,511,559,545,673,769,478,281,695,569,468,638,288,317
547,1377,1610,976,410,442,877,766,900,315,1065,548,687,449,800,411
