0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
6798,2499,1571,4189,2010,2677,3077,4204,3591,2543,2219,2292,3716,2570,1711,1340
2942,2913,2349,2158,3692,1979,2341,1849,1572,1403,2017,5406,5587,10627,923,4881
921,2457,2593,2865,1361,1188,3431,1466,3665,2215,5984,3419,3347,857,2009,2651
3231,3877,2235,2213,1435,1725,2756,4450,2737,1528,2329,1743,4041,2164,3142,21082
922,4024,5484,8987,2808,1624,1329,2266,1272,6147,1079,1247,1254,1664,2979,1724
2298,5500,5807,6102,5711,3571,1773,1665,3488,3124,2111,3387,948,3568,2564,4477
1280,1706,1071,2615,1053,2177,1347,1370,1119,1811,4438,3721,1525,2660,1268,3884
1544,1134,1694,5968,1728,3760,1933,2181,4321,3410,7460,2261,1840,3702,3282,3627
2606,2047,1206,2029,2174,10599,3758,3733,1374,4264,2063,4253,1448,1945,3524,1954
5573,4890,3358,1305,2954,1489,1602,2814,3496,1775,2343,2471,7290,1781,1628,1716
1739,2498,2250,4355,1529,2584,2389,4890,3921,2679,2595,2568,3241,1925,4176,1490
4840,2508,5380,920,1362,3109,1292,3634,3340,936,2641,1271,1807,3255,1977,2775
1391,2019,3410,2009,2429,2083,2819,3150,1522,1392,1359,911,4616,1851,2434,5502
2852,1392,3966,1530,2270,1430,4814,1697,795,4561,3849,4047,1576,2526,2110,6132
5516,3117,2301,3040,1298,1168,1757,1620,1870,1717,3398,2237,16045,3000,3870,1603
2147,1789,2895,3525,4425,3232,1224,1247,2161,2284,1183,961,5010,2258,2492,8006
2561,1839,3257,1788,4386,2472,1968,3040,1655,4342,8319,4394,3270,4789,2211,1767
1413,2321,1624,1941,2178,1591,1884,3224,2779,1924,3173,5095,2467,4003,3761,3365
2124,1676,3949,2490,1903,2187,2757,1820,2005,4172,1795,1566,2139,3440,4047,8573
3322,3416,3516,2348,3891,3360,2147,2396,1199,2331,1957,1331,1452,2290,4541,1794
1855,709,3611,2784,1627,2874,2370,3144,4154,1316,1669,1664,2022,2257,3339,1403
3318,2851,9273,3328,2646,5606,6339,2709,3759,1831,4624,3868,2385,11481,2621,4209
4183,5278,2321,2247,3366,1240,1933,5617,1405,1081,3918,897,992,2062,2047,2618
1910,2260,2179,1362,2334,2096,2055,1116,1373,1371,2594,2895,2537,2201,1954,4306
2947,1977,1286,5102,5903,4109,3801,45763,5509,1903,2360,1997,2366,4143,1578,1738
2192,1363,3903,1859,2201,1646,3184,2422,2094,6079,1856,4332,6732,2706,1459,3785
