,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1153,36,40,8,1,21,9,36,6,38,12,6,84,20,8,25,769,13,19,8,6,4,69,10,15,9,5,8,46,23,2,4,2,12,67,6,7,4,1476,9,6,25,8,16,19,25,32,3,180,3,17,26,9,11,3,9,11,39,36,117,33,8,4,7
1,13,10,21,10,9,5,58,5,10,16,9,2,46,160,4,31,3,4,6,2,41,12,5,114,10,4,2,11,19,16,3,23,364,9,12,14,52,6,9,29,5,8,4,11,38,48,2,4,3,6,1,39,6,132,16,8,10,15,10,8,28,14,42,12
2,4,60,13,13,207,10,15,33,2,35,63,10,7,20,7,4,503,11,4,55,30,3,5,10,17,3,1515,13,16,17,75,27,5,76,19,13,4,2,21,1170,36,22,0,854,331,10,13,28,52,4,33,5,185,1,2649,12,7,27,8,19,24,25,16,49
3,7,7,98,4,75,19,5,7,28,2,1,17,88,2,109,2,61,8,21,3,4,75,20,6,3,20,2,8,5,15,18,7,12,482,5,63,25,3,6,6,2,28,2161,50,87,4,30,12,425,4,3,4,18,5,23,99,17,21,74,4,16,7,6,3
4,4,2,21,8,2,33,2,14,10,2,9,67,8,4,7,7,6,12,7,11,12,31,11,4,5,38,20,18,64,30,27,7,9,200,39,47,4,16,11,18,9,27,3,117,6,3,1,91,27,74,87,5,5,5,17,6,2129,15,43,19,21,10,12,167
5,1,16,4,2,36,1,143,3,449,7,1,6,3,3,19,19,510,40,2,3,17,1,21,5,166,93,67,20,11,7,16,4,3,95,66,83,11,2,17,9,17,61,18,12,14,3,2,5,254,8,3,7,8,10,5,5,39,5,13,36,7,1,35,50
6,75,8,3,2,3,3,19,6,11,2,1,7,10,64,2,4,1,15,17,5,3,10,3,5,4,5,31,5,15,33,4,8,15,4,4,7,5,66,116,25,7,5,1,26,7,51,4,31,5,4,27,6,31,6,7,4,41,49,13,13,1,4,66,23
7,3,5,7,4,5,0,18,46,59,29,13,3,712,4,1,30,9,65,26,9,11,8,127,12,1015,3,185,20,6,7,9,51,4,7,9,7,42,9,0,5,23,12,13,4,6,15,5,14,4,4,52,14,14,19,28,82,4,5,5,49,596,11,8,153
8,17,29,1,3,11,33,10,3,11,43,14,2,7,5,21,11,3,2,17,15,11,8,10,19,33,4,13,8,24,1761,4,7,5,8,34,16,35,36,12,4,37,9,88,43,4,98,35,4,38,11,14,6,8,8,5,4,13,2035,2,6,157,14,3,5
9,57,239,7,5,14,3,13,5,9,24,19,3,3,6,4,7,19,54,5,29,3,6,12,47,19,4,11,6,24,16,2,18,10,57,367,133,1,3,11,12,8,14,13,120,6,24,4,2,14,3,7,10,17,1,4,14,1,0,7,2,6,5,229,5
10,4,70,1,5,18,4,17,20,4,8,34,395,41,8,1,5,6,1,226,28,8,4,24,1,8,25,12,4,11,6,7,27,11,97,10,9,2,5,7,4,10,9,107,5,3,6,27,29,27,3,15,30,215,2,20,7,9,4,2,4,7,9,2,11
11,4,6,13,39,4,8,5,36,15,6,16,105,1,7,15,3,45,16,1,24,9,68,43,3,2,3,17,15,6,13,5,4,9,1,13,6,5,44,51,2080,21,3,10,5,6,7,2,73,31,6,7,4,20,34,228,190,400,8,6,5,6,21,173,3
12,7,26,2,639,6,7,5,10,356,18,45,8,11,8,8,2,23,2,9,22,17,9,15,30,6,8,23,4,27,17,4,11,41,7,7,12,9,3,11,66,3,10,4,2,7,5,182,106,26,3,40,18,4,16,8,20,10,9,9,54,8,1,15,5
13,6,6,2,3,9,6,7,70,6,7,4,19,9,15,1,6,23,5,5,21,61,11,4,16,14,221,166,3,12,16,1,30,23,6,6,5,5,9,10,56,17,19,4,4,5,13,2,24,38,6,26,143,7,38,5,249,15,11,6,18,1,197,1,198
14,5,606,29,26,4,2,5,5,4,4,16,9,3,8,18,38,3,32,16,12,11,25,10,10,23,9,6,5,45,4,20,15,47,17,10,17,17,3,3,2,841,9,4,10,146,29,6,12,551,13,47,10,3,8,0,54,4,3,3,290,32,110,47,21
15,10,25,12,11,4,81,4,8,4,4,16,100,24,10,2,5,66,3,10,72,122,23,2,2,110,22,4,4,2,47,13,18,2,32,47,17,7,6,32,29,7,3,63,2,10,7,24,26,5,29,30,3,78,5,3,42,64,2,43,11,3,7,14,64
16,3,27,6,18,1,15,10,74,6,14,2,11,7,6,8,28,4,5,176,15,18,6,10,14,164,42,0,10,37,13,12,96,44,5,16,9,23,13,15,2,23,6,3,44,11,17,4,1,12,6,369,67,1,66,19,8,25,28,11,3,8,15,3,7
17,37,5,19,6,11,9,9,5,21,8,90,11,4,2,3,2,75,7,81,15,15,21,43,13,4,7,995,182,11,5,28,3,2,26,12,47,29,472,5,181,23,4,12,22,12,39,11,31,5,2,9,20,4,7,4,4,794,4,18,4,5,4,8,326
18,3,4,11,1,3,5,16,5,3,19,37,9,7,10,5,3,8,3,7,46,322,4,1,34,4,7,4,3,1,5,28,36,269,4,5,4,2,39,6,18,9,8,4,12,9,5,3,13,9,2,460,29,12,2,7,1,12,7,35,6,50,7,61,6
19,1,5,7,215,5,14,2,9,2,3,9,9,525,47,25,62,24,6,4,5,2,41,2,17,13,10,13,1,2,29,623,49,5,5,5,41,6,7,30,53,8,4,5,20,6,1,23,2,26,75,6,30,16,97,6,0,18,10,3,29,2,11,16,12
20,32,74,4,210,8,2,59,6,8,105,2,567,7,26,32,68,0,64,94,2,2,38,5,25,5,5,24,17,2,4,4,13,7,34,23,8,1,0,22,4,83,3,12,6,2,26,8,14,13,5,19,4,3,128,249,22,4,8,8,7,6,3,90,28
21,10,12,7,5,13,10,2,9,33,4,13,10,4,346,1,3,652,6,68,2,18,26,8,5,17,1,216,14,13,1,1179,38,127,20,6,1,10,23,7,26,135,45,8,10,10,16,30,20,0,34,100,11,14,6,7,10,1,8,7,5,31,12,33,8
