,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,12,11,29,34,15,14,45,38,31,44,30,37,9,53,7,12,61,16,65,21,747,7,32,1223,28,42,21,18,263,14,42,30,33,69,47,8,35,17,488,261,20,184,57,30,48,15,81,21,845,35,240,16,9,18,24,11,7,47,225,16,4,546,53,22
1,30,11,18,43,12,40,33,16,31,9,8,21,1338,34,38,66,10,31,20,25,115,12,2,21,106,19,25,7,20,84,1635,30,11,22,1087,56,21,17,51,23,12,36,37,67,49,8,1459,20,40,45,15,20,32,10,19,2166,55,7,272,29,16,24,13,37
2,3316,11,69,216,5,11,22,122,27,1383,24,21,12,90,211,383,19,25,30,4,59,32,76,90,1782,7,16,12,5,372,46,26,12,55,17,11,788,11,44,26,11,9,65,16,7,60,20,32,158,8,289,104,390,16,6,28,15,11,118,63,15,10,816,12
3,32,18,13,71,44,27,63,22,24,282,19,28,20,20,20,13,31,244,15,21,11,26,36,23,30,178,9,136,39,15,32,16,190,29,175,21,873,14,30,19,234,15,177,22,59,1357,37,18,15,624,13,12,19,1466,26,17,26,5,72,415,43,17,19,26
4,49,17,11,14,39,19,125,7,28,62,5,60,107,19,24,40,38,16,17,100,7,83,386,23,23,41,25,27,55,39,67,11,285,28,13,144,80,6,25,28,46,12,56,302,12,22,12,7,23,9,103,8,14,45,227,9,517,2,201,180,21,25,22,10
5,915,23,97,16,9,7,23,332,89,78,142,82,16,358,19,5,13,13,486,91,156,35,11,107,827,482,289,490,13,30,23,25,2417,62,10,57,274,54,240,32,40,6,82,18,17,41,18,20,18,34,10,17,22,83,2,74,15,37,1027,11,12,16,428,20
6,115,2143,19,26,2471,104,13,85,586,17,1059,32,25,34,13,15,135,59,63,10,25,125,140,35,28,21,62,33,19,16,26,36,15,19,17,10,105,83,30,31,1038,13,37,120,44,13,11,32,96,11,13,31,24,108,646,14,380,6,32,46,15,8,38,102
7,309,34,50,45,2701,30,117,22,16,62,61,26,14,7,170,43,52,7,18,49,52,19,21,15,54,16,38,28,10,20,17,121,17,55,477,10,10,10,13,49,9,43,62,169,211,237,20,733,29,167,186,12,39,4,9,511,23,23,14,440,24,26,15,6
8,10,12,26,27,24,44,12,2122,65,15,347,22,7,10,365,61,300,43,25,10,16,30,60,550,1739,59,11,73,12,9,889,16,23,67,17,456,16,26,6,31,40,15,79,126,44,10,6,15,35,278,26,364,13,50,17,37,18,38,144,47,30,31,46,21
9,36,82,11,15,56,242,38,7,16,25,22,89,151,24,13,157,19,34,14,23,453,9,20,52,19,22,13,15,540,14,29,40,8,50,13,60,262,21,10,243,5,162,24,79,14,26,60,25,8,40,25,108,74,118,90,36,15,15,2347,27,12,7,15,653
10,74,18,156,47,21,286,49,18,696,9,13,73,27,14,30,9,3045,27,23,10,533,14,11,33,81,200,498,33,33,35,31,10,25,42,14,15,13,12,54,284,41,57,27,8,14,124,16,18,893,61,149,74,56,1904,8,467,23,13,73,67,6,167,86,10
11,41,22,56,1690,7,3,17,6,9,34,90,1508,68,243,120,516,18,25,51,199,8,7,29,8,8,13,18,71,248,37,21,81,31,15,15,12,28,309,429,11,36,12,9,32,7,44,15,9,66,13,57,5,9,14,54,7,25,9,15,121,22,9,5,129
12,12,423,50,10,49,15,949,16,108,8,40,17,40,11,22,29,14,569,7,27,37,6,1230,69,12,59,35,12,66,28,64,27,20,8,23,42,10,45,24,61,7,33,149,112,59,88,73,29,21,10,21,20,23,109,22,8,58,36,132,12,11,12,29,25
13,135,16,13,2220,129,7,14,724,8,99,14,16,413,10,13,24,311,23,26,35,848,58,4,39,24,22,6,26,28,143,22,4,16,24,162,75,34,4,34,4,23,6,576,46,2142,11,20,14,24,64,5,38,106,173,88,18,29,17,172,28,17,13,3094,19
14,19,42,133,35,399,1854,10,28,20,1498,11,101,36,19,698,16,15,15,15,11,18,47,28,23,157,320,9,1438,1,40,1669,38,55,7,19,28,120,38,229,18,58,12,14,12,82,13,7,69,155,19,88,15,27,21,12,32,51,175,14,11,106,25,16,2
15,48,9,24,14,2740,22,25,63,14,20,15,21,97,183,1146,34,67,52,78,36,206,17,760,12,30,142,1048,131,30,459,83,36,35,16,27,15,16,3,73,33,24,13,96,9,33,77,12,156,30,121,9,389,108,45,69,42,13,38,23,11,48,32,65,7
16,64,10,197,41,468,110,28,13,108,27,48,306,174,65,45,33,13,20,348,9,21,18,467,16,47,48,31,81,6,634,11,610,27,12,13,23,14,20,41,18,273,212,54,15,13,99,38,16,57,11,16,14,14,226,1078,5,7,8,8,30,16,14,145,19
17,53,16,21,169,171,1943,77,208,173,68,14,15,27,234,48,29,87,62,34,9,13,26,25,44,16,47,12,77,31,13,268,19,11,13,17,20,5,21,9,45,13,17,25,50,16,21,554,33,105,24,13,14,20,35,36,11,15,110,6,22,14,76,17,509
18,19,26,74,16,12,87,162,26,23,35,26,22,295,49,153,41,6,26,4,52,35,351,7,562,19,501,9,14,9,129,27,13,75,26,22,7,38,32,19,40,28,34,268,67,59,38,28,20,571,12,8,18,143,11,50,36,6,10,89,12,10,53,12,121
19,3019,341,27,29,19,881,186,102,3095,582,17,12,24,336,23,29,131,30,162,43,37,15,1702,36,9,289,316,31,41,97,12,2039,103,2118,346,227,51,244,34,5,29,33,10,22,520,3295,294,13,14,16,299,44,38,10,15,23,43,9,26,20,12,806,29,18
20,10,42,13,21,25,16,13,34,79,28,453,198,24,14,36,79,282,121,154,45,187,22,58,16,20,45,25,61,2022,46,29,68,18,16,115,18,42,23,16,7,62,27,26,10,162,24,17,72,23,36,16,36,3,140,74,49,6,55,8,21,23,109,32,18
21,79,432,110,358,16,66,25,31,38,23,39,136,15,13,19,93,9,16,13,2377,487,63,11,10,14,14,55,167,46,2,177,35,96,7,11,22,51,14,32,4,244,12,16,18,34,30,9,24,11,22,159,22,335,27,76,17,10,9,18,182,9,25,21,23
22,82,14,16,28,23,10,306,42,15,309,1026,9,35,9,24,38,24,106,1687,23,11,288,151,203,44,14,16,44,88,9,75,98,20,30,13,1094,24,3,765,300,58,358,22,108,46,11,70,1298,48,17,33,42,175,12,9,30,7,21,200,26,18,28,36,207
23,42,35,425,54,53,10,12,12,16,214,12,791,55,29,179,100,21,8,65,247,26,56,28,26,20,42,234,14,57,316,17,1945,14,145,16,3,16,14,127,7,61,10,19,8,20,1088,14,136,4,19,8,10,55,34,14,15,4,127,41,12,198,39,8,27
24,27,21,245,49,16,23,13,12,7,22,23,17,5,101,73,8,17,918,10,11,502,59,29,4,35,16,54,38,32,13,15,12,44,24,82,57,26,9,18,15,179,16,14,13,12,14,22,23,40,73,22,28,88,97,30,12,1069,5,36,27,17,29,19,19
25,138,23,651,178,23,55,86,51,16,30,24,46,11,11,35,58,31,24,26,57,18,27,87,1503,16,6,43,37,22,12,99,49,1184,16,52,26,963,82,11,276,9,95,86,39,23,16,35,22,453,20,61,126,17,16,5,1486,49,48,13,13,46,38,25,12
26,131,113,42,23,8,23,14,34,40,84,21,21,227,30,66,29,7,11,80,8,74,29,159,18,7,24,11,10,309,18,195,4,101,21,7,14,74,23,24,26,40,10,36,71,8,64,21,10,4,260,22,23,11,18,779,47,36,53,11,495,37,15,23,29
27,81,92,545,63,11,11,23,120,22,18,186,48,19,130,6,2355,10,38,58,17,40,10,59,22,57,11,19,7,116,32,34,71,192,37,28,86,9,21,2337,59,43,6,63,90,89,8,158,6,4,6,23,52,20,1457,17,51,46,2449,6,9,15,408,2149,214
28,19,3,400,8,106,23,43,90,3,101,16,10,1218,11,7,3,179,33,41,69,60,134,77,8,19,27,24,4,56,52,31,39,290,50,9,40,13,15,17,64,14,1784,13,13,15,18,59,56,1079,29,74,55,32,18,6,35,11,50,10,25,17,12,224,8
29,10,10,177,14,6,23,8,99,11,16,34,216,114,57,284,25,4,14,7,6,21,20,22,37,44,46,7,212,7,51,8,86,557,27,7,1111,75,9,39,1794,28,10,6,2461,15,2856,109,1245,160,24,10,17,12,11,108,35,25,41,300,717,26,13,168,23
30,15,11,60,9,30,14,91,160,308,12,11,29,40,12,11,41,13,171,11,32,74,157,18,98,75,40,47,39,34,109,2,46,412,30,8,385,185,8,833,388,98,33,6,6,1547,10,54,7,26,13,21,25,10,184,26,19,30,53,112,22,14,39,25,11
31,14,4,113,44,24,40,8,68,288,18,670,702,22,31,33,19,43,24,8,18,84,55,6,16,11,6,91,9,52,34,5,25,30,10,313,132,77,6,13,232,55,35,468,44,11,210,7,19,7,221,283,4,55,51,144,37,76,13,19,9,15,93,10,21
32,31,10,36,15,11,17,19,7,32,29,37,13,97,5,33,15,39,10,170,318,9,3838,22,28,890,22,21,39,4,15,79,10,442,7,680,43,10,8,88,75,10,18,9,105,10,29,25,9,3713,22,112,17,19,28,14,30,3668,16,109,82,49,22,34,34
33,21,482,2162,121,7,5,26,29,82,22,43,12,23,25,24,16,30,78,7,6,29,1331,64,23,39,10,20,51,52,18,104,20,11,13,29,363,8,19,9,16,26,3,107,92,31,6,11,14,26,4,16,16,14,39,9,197,81,6,8,39,39,1493,66,12
34,9,106,27,24,611,20,8,47,393,10,29,14,38,42,7,9,34,29,53,130,26,982,20,30,15,22,108,12,17,42,16,10,45,21,19,11,12,6,120,29,33,9,26,11,90,15,1840,229,20,26,37,9,21,4,8,57,14,1282,14,11,28,11,2247,133
35,32,6,9,22,8,66,279,35,23,11,27,31,527,21,22,39,26,27,11,539,13,972,22,16,13,17,150,410,42,17,20,39,34,14,106,47,58,141,26,259,30,1394,57,23,53,147,34,22,13,18,1861,63,10,17,11,17,11,28,19,11,66,28,19,34
36,701,87,54,250,12,790,23,22,17,33,29,30,26,181,11,17,40,8,11,55,28,95,15,14,29,52,15,1095,16,21,7,66,9,7,11,8,59,6,27,103,58,31,20,26,16,103,5,263,14,72,19,62,31,19,28,19,33,42,20,43,13,117,101,38
37,25,36,109,37,93,4,8,61,36,364,638,159,23,26,31,21,32,19,17,67,25,57,11,62,10,6,37,141,8,15,9,3013,3,39,935,65,36,9,127,28,8,9,18,49,23,7,11,17,22,26,33,93,49,16,42,78,21,70,56,15,37,26,53,20
38,11,23,3,6,24,116,268,51,7,190,4,10,65,21,14,20,17,9,938,68,15,111,13,12,43,24,62,31,12,26,15,6,57,30,12,24,25,19,1093,112,22,3,10,31,15,22,117,16,63,7,31,5,6,55,36,138,22,23,14,33,35,70,294,6
39,54,17,49,21,13,49,62,44,204,19,40,63,56,79,8,50,19,48,34,17,22,12,73,16,10,91,14,5,89,22,7,12,11,21,29,11,5,38,433,176,58,23,107,15,8,35,1238,27,6,28,415,18,13,27,11,14,1159,22,7,79,13,31,10,50
40,802,31,8,14,11,3,15,8,17,29,12,23,21,197,26,398,6,83,39,20,1410,25,17,52,10,122,187,34,4,192,12,21,14,16,265,13,8,36,185,29,70,12,16,36,443,30,14,116,68,24,73,18,8,10,32,163,1372,8,13,8,26,26,156,7
