0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
7849,2795,3739,3929,10075,2524,8616,7961,2565,4890,3210,1961,6405,6866,5640,3706
3962,3350,2157,3631,10752,7530,5748,1518,3248,4576,5254,3185,3717,4562,7010,3404
5380,1822,11480,7845,2010,2734,3102,3676,4931,3609,2284,5291,12925,5900,4685,3682
2220,2109,2618,2852,3202,3827,3121,7046,2779,5609,5550,2799,9204,7292,3277,4628
3027,6940,8882,3288,11433,3519,2873,2659,7076,4107,12952,8075,4174,5444,10383,12502
2055,1849,3440,4026,2395,4811,2390,2419,7774,4483,4224,2083,4065,4316,2856,2269
5869,4822,3111,2729,3296,5644,4769,6344,5206,3209,18365,4297,2282,2758,2597,4692
2447,4902,5154,3229,2561,3500,4495,5497,2840,3014,4100,3832,4414,4464,3846,2875
6634,4331,6170,4533,5253,2825,2903,1868,4490,5090,3257,6730,6814,10042,2791,3423
3132,8628,3806,2608,6618,11312,3311,5203,5182,2786,3870,2509,3273,3768,7601,3123
5132,10441,2328,4508,4567,3381,2495,3269,2325,4483,3144,3780,3492,1839,6022,4216
5643,5731,4323,5379,5909,4592,2775,6896,3310,5757,4274,7153,4810,5197,2380,11069
6092,4972,4766,5067,4732,4508,8530,5029,6240,4960,6035,3666,2617,3288,4593,6626
4424,3925,4731,5183,7073,2867,3892,10092,4154,4737,3532,3946,6715,3466,4047,2479
3583,2579,18573,8945,4762,3473,2515,3195,4397,3943,13985,13787,4862,2815,3022,1760
2735,5552,5441,4334,2666,2310,3744,11062,4297,3080,4495,3954,5975,3893,7604,3413
3926,4539,6398,2823,2400,2321,4239,4369,6310,7723,8967,10011,3483,8783,4934,2017
7259,4550,5224,5944,5031,6595,3153,6457,5366,3150,2011,3241,2593,4848,7333,6506
4824,1727,4457,2971,2338,3274,2625,3024,8444,7143,6967,2059,3617,7556,4146,4639
2311,2090,4099,2005,3890,2467,2500,1455,4231,4645,1475,4055,6552,4363,4423,2829
3157,4822,9070,9380,5773,5281,8635,3788,9762,4941,10760,4536,6792,10436,3869,5026
2709,3254,3206,4437,4854,6567,2356,6849,1461,9881,2806,4186,2692,10923,5829,7896
2624,3101,2407,4590,6895,3172,1815,4221,17934,2926,3080,2480,5013,5237,1947,2613
12746,8614,7114,3927,3042,3954,2627,4673,2767,4777,3862,4148,4841,2770,4071,5598
1833,4068,4564,3300,7851,2754,10500,5370,5439,3174,1995,6736,4364,4231,3000,3743
3310,4279,7455,3663,2228,18758,3292,6957,5168,3176,1978,5938,2789,5428,2357,15207
10572,6090,23932,4656,5541,7238,7890,4121,7116,13216,4093,3998,7628,3396,9504,2490
8417,5419,2567,3355,4303,12895,3255,3715,3223,7496,3294,3003,2952,3441,7222,5266
2212,3917,1890,4668,2557,6959,3316,5731,1114,6263,4243,4222,3391,11465,5400,2301
4078,7603,3980,5822,4724,2494,2391,3924,4288,4498,9892,3353,3787,6871,4355,4173
2734,2011,3053,5135,4255,1828,2904,3762,2707,3160,6259,1560,2035,4569,3552,3504
2090,1264,5074,3452,3082,7030,5323,8430,6653,4927,4278,5475,3390,5767,13248,4299
11642,6338,2662,4224,3474,2946,2621,5132,6522,18952,6838,4790,5615,6285,2956,7666
