0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2857,334,598,266,890,769,363,599,499,6799,344,1477,677,1544,641,451
988,474,1065,633,663,546,893,921,912,1504,779,1096,1128,270,502,2080
978,440,297,1117,1137,367,282,250,879,815,304,914,343,990,640,747
714,851,264,1826,453,973,235,314,169,754,504,534,581,299,359,2270
976,725,858,3390,251,542,319,3994,1246,1629,2966,754,829,1184,858,1119
397,313,401,1752,609,286,250,1059,660,262,303,1004,424,854,510,641
701,1526,749,802,329,359,1098,859,395,564,1543,686,1248,479,755,366
577,390,403,980,783,597,569,1605,348,893,745,1008,725,830,547,767
1012,347,553,399,670,366,235,725,1943,415,350,933,358,703,497,247
2902,1700,2399,977,1174,2010,1306,279,679,653,439,302,841,2539,434,173
780,553,307,334,1074,1148,1086,546,506,386,621,501,578,574,442,2091
1992,628,2043,645,1278,1341,493,937,1164,2833,491,586,2274,510,2841,2068
471,854,374,414,458,860,286,644,479,594,516,1279,1146,1599,548,866
596,447,911,608,316,638,3544,495,723,914,253,1864,5418,1040,397,327
245,1451,254,2045,1681,2140,6296,325,646,1267,442,791,909,642,1563,519
1457,1927,1221,2216,679,1491,268,792,772,279,418,428,1257,868,1102,2277
1740,570,1098,3474,713,1027,1407,544,3254,809,313,704,766,298,1299,517
477,379,729,245,390,1518,579,708,374,644,260,752,1980,369,794,399
336,280,385,447,539,402,876,1116,587,1056,652,583,437,453,533,212
749,842,927,924,2374,506,482,526,872,1849,1943,732,462,730,1416,755
2197,408,4161,341,1201,1522,785,431,1255,595,865,447,1177,660,664,493
673,681,658,1168,730,142,991,786,540,247,463,716,784,281,1041,290
998,731,2294,3089,341,649,2613,715,813,2107,1988,855,432,370,1162,667
435,321,209,1191,806,456,830,1791,642,330,436,1218,391,575,201,364
573,283,272,873,455,2227,431,684,779,343,630,1787,590,741,752,1465
1153,679,2922,527,358,1935,1119,209,1940,741,271,3947,991,1874,3690,1550
253,349,763,583,1017,1847,1746,1513,1209,581,464,907,870,735,925,407
666,350,742,835,725,2914,1180,517,880,852,1051,705,839,926,982,4204
759,376,1915,499,599,2715,1564,3461,917,605,454,894,270,475,2912,1123
562,358,303,396,344,757,1523,267,1483,384,242,274,466,5374,217,812
1113,279,474,770,1074,314,517,538,352,494,503,1150,356,263,527,802
324,515,840,734,805,463,338,476,343,218,447,1126,794,722,932,615
2058,829,302,2296,479,1364,1661,1820,362,1142,424,1193,676,1886,345,1540
859,11112,3004,1709,891,848,404,708,1224,438,540,703,662,2842,1703,1200
533,922,372,1279,1044,673,921,1716,470,233,1061,1327,1170,714,289,1090
414,658,408,515,719,587,548,1636,803,828,287,706,1702,853,349,436
351,384,289,361,146,309,272,374,228,307,522,245,240,328,138,757
500,199,232,220,182,284,268,595,229,474,642,383,276,519,399,339
870,1440,481,236,693,1033,1992,512,330,1305,268,798,1092,486,295,400
924,1154,1140,1123,459,1572,620,1114,862,2009,418,401,487,398,1225,438
455,861,956,819,737,1155,852,946,801,583,776,1493,678,1163,948,693
1176,1102,8088,1022,543,285,5809,621,563,548,296,331,445,545,953,660
874,809,1227,17249,1485,2350,572,484,1547,352,5058,1699,909,300,904,673
218,288,645,503,2038,500,885,1023,758,607,338,1157,407,1695,531,387
1211,587,333,304,551,450,776,485,802,700,649,1558,356,439,660,664
1020,352,924,2592,358,1460,392,626,479,1993,359,2301,1303,269,1241,1218
921,971,744,478,732,502,1132,317,819,1821,468,568,538,1456,520,988
855,496,817,779,651,428,622,474,444,1066,320,1133,1318,287,579,1480
808,689,633,382,919,887,288,380,507,490,1120,278,746,912,1670,505
425,1933,860,431,510,942,787,1387,655,247,854,1018,779,459,1490,773
554,748,2256,617,1387,672,1841,661,312,881,1765,1239,732,1307,814,2891
355,1147,2673,332,1134,503,2529,345,524,1014,293,827,435,451,566,163
598,1141,908,2189,388,859,747,687,645,1712,1445,396,852,1269,541,1426
204,667,501,653,314,836,590,386,420,598,967,643,215,359,287,298
850,285,507,930,375,288,361,222,215,991,1022,488,1305,269,962,808
307,2523,772,478,381,709,995,487,984,383,765,581,349,645,460,1080
1034,505,4941,370,828,1020,977,6716,606,309,730,1163,280,714,532,1159
711,627,416,1403,549,218,2138,484,726,585,2030,677,941,239,637,698
4285,225,396,738,259,1501,321,751,614,1622,333,558,861,2100,421,385
787,6321,609,364,2079,652,585,3316,1537,595,599,1248,245,395,632,1662
1585,986,853,542,1199,1303,1147,1129,409,328,683,1252,1231,1117,1469,241
3407,428,4867,871,1850,649,1431,3060,1348,293,575,441,4075,750,237,1124
619,1488,429,1656,301,558,331,692,956,1211,637,397,280,7443,805,468
570,1964,597,463,624,857,727,746,354,633,489,809,517,738,600,405
424,4478,766,1884,272,671,972,594,1511,406,411,930,2015,362,627,616
640,273,392,357,496,589,597,1323,417,2006,219,757,550,1266,727,1095
839,774,1697,869,621,563,5109,401,1209,514,495,477,2605,539,922,1804
729,891,489,604,1740,1388,1953,812,612,554,1416,493,677,258,626,1577
