,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,62,3,98,2,13,34,2,3,12,78,78,24,14,38,4,34,2,126,92,5,9,6,6,0,4,5,132,4,2,33,26,114,11,87,12,1183,1,20,54,39,11,2,2,34,4,27,15,54,486,42,9,1,27,26,38,915,114,3,12,12,37,9,80,15
1,1216,63,57,41,156,766,28,10,7,91,3,14,6,83,44,13,10,5,57,7,14,23,36,2,15,5,45,5,205,27,39,36,2,31,126,7,10,2,14,4,42,32,20,37,6,27,21,6,6,129,15,31,22,154,37,22,13,12,17,25,8,21,4,9
2,10,20,16,40,29,301,10,5,32,11,51,28,9,806,16,6,44,3,54,49,12,22,44,15,30,7,2,2,21,2,2,47,19,19,116,70,12,6,7,1,6,20,9,8,257,38,20,67,15,28,2,17,16,19,138,4,4,2,15,126,38,15,8,39
3,65,1040,20,48,25,20,33,6,95,5,8,8,47,23,7,16,7,41,3,20,155,6,5,14,6,23,8,17,6,1543,12,231,2,60,12,12,10,62,14,21,15,12,10,8,7,86,14,18,8,93,37,82,12,37,21,20,9,22,131,46,34,2,4,21
4,247,45,23,1991,5,13,6,6,14,18,47,3,323,499,69,16,8,13,49,31,18,6,10,3,55,9,667,23,202,14,11,23,14,16,5,12,6,6,28,6,80,251,21,16,179,8,10,15,65,59,18,17,5,14,11,14,4,22,43,21,1484,31,20,2
5,11,36,8,5,14,42,1921,26,6,917,25,32,33,2,14,11,9,47,17,11,69,13,73,15,15,22,61,20,7,10,1,8,28,4,25,7,8,40,181,18,16,87,6,3,6,64,13,9,14,13,72,7,139,199,21,5,161,24,13,26,9,17,14,11
6,49,21,11,17,9,31,33,67,27,20,13,29,126,10,18,19,24,24,35,11,9,4,13,36,92,78,11,9,17,5,7,4,114,7,11,10,9,8,5,13,6,9,4,7,8,7,52,23,867,10,177,23,12,52,6,8,4,2729,16,10,6,3,5,172
7,37,21,31,5,91,3,55,2,13,64,9,12,8,14,7,92,35,33,7,81,3,38,6,22,28,65,10,29,160,16,12,21,30,137,24,7,5,83,22,201,319,242,9,10,38,5,25,9,23,9,124,9,5,8,12,31,3,10,6,13,20,11,10,6
8,99,40,5,5,85,4,10,5,3,22,2,22,17,17,1012,10,10,10,235,10,66,55,6,44,209,7,4,18,26,7,40,3,23,9,9,69,18,23,106,13,3,23,16,36,13,62,29,69,14,7,13,18,15,15,5,51,9,5,6,131,4,121,8,21
9,14,17,29,67,9,18,2,13,39,35,23,265,27,148,16,104,10,31,6,13,4,4,235,17,13,7,5,109,3,981,10,23,10,4,26,14,8,29,90,14,509,27,10,152,35,4,7,6,10,10,31,275,22,26,9,264,161,7,17,2,8,9,5,177
10,11,69,28,16,4,12,58,4,1571,6,25,36,11,178,6,9,883,26,467,3,5,26,20,13,14,7,3,5,13,22,105,8,206,30,1703,5,34,1,10,13,108,18,15,6,21,13,30,11,18,10,4,12,6,38,16,26,22,9,49,219,4,34,21,4
11,9,21,3,14,73,13,57,14,6,17,11,8,15,4,5,13,7,10,11,7,13,13,18,6,34,9,3,14,8,10,9,195,18,10,9,11,2,407,16,6,0,12,18,115,16,18,3,52,3,7,6,17,277,28,10,10,11,6,360,2,81,6,1216,33
