Element,Count
b'\xd2\x1d9\xfa',16889
b'E.\x1c)',11647
b'V+x\xe8',10113
b'\xc6X\xda\x88',9739
b'\xb7\xf6h\xd0',8993
b'\x01l|\xec',8554
b'\x01l|\xff',8418
"b'c\x9e,\xb5'",8264
"b'\xc6X\xdd,'",7049
b'\xdd\x01b\xdd',6673
b'\x99\xc1\xe9Z',6594
b'c\x0f\xb2\xd4',6244
b'\xd8\x1eL\xf0',6158
b'E\x0c\xd5\xf4',5628
"b'c\x9e,b'",5570
"b'c\x9e,{'",5276
b'E\x0c\xd5\xf7',5194
b'E\x0c\xd5\xf5',5055
"b'c\x9e,z'",4723
b'\x01l$\xce',4622
b'\x80-\xe5d',4482
b'\xdd\x01b\xdf',4246
b'\r\xe1\x94\xb7',4081
b'~.~\x13',4081
b'\xcf\x88\xee\xa0',4054
b'\x800\xeeP',3972
b'\x05\x06\x1b\xd0',3767
b'\x82+!!',3639
b'ur=\xf2',3584
b'c\x9e.\xa7',3553
b'p\x97\xa1\xa9',3526
b'A\xad4b',3485
b'OZ\x0e\xae',3425
b'e\x86\xc2d',3419
b'c\x9e.\xb4',3413
b'\r\x01W\xaa',3407
b'c\x9e.\xb5',3393
b'I\x95\xba\xfb',3292
b'\xdc\x90\xcd\x9d',3273
b'\xdc\x1bP\xe4',3261
b'\x8e\xa1\x17M',3257
b'c\x9e.\xa6',3215
b'\xdc\x1bP\xe7',3182
b'h8\xc7i',3123
b'\xd2\x1e\xbeu',3121
b'p\xe01\xdd',3033
b'\x8e\xa1\x17L',3013
b'\xd0\xfd=\x0e',3000
b'w\xfa\x1d\xcf',2988
b'\x05\x11}\x9e',2985
b'd\xa2\x1d<',2983
"b'+\xf05,'",2935
b'\x01l|\xab',2918
b'\x05?\xc10',2892
b'\x80\x11\xf0!',2891
b'\x89\xa0\x02\xb7',2865
b'\x91\xdc\xd6\x91',2859
b'A\xad4a',2811
b'\xa9\xaf\xea_',2760
b'l*\xf2{',2740
b'\xb7\x96U\xe9',2724
b'\xca\xc4\x0c\x9b',2701
"b""\xcf\x88\xf6'""",2698
b'\xc7\xe8~#',2694
b'\x80\xaf\x0b\xbd',2694
b'\xdc\x1bP\xef',2658
b'<\xf2\xdc\xd0',2644
"b'\x82\x0b,\x9c'",2624
b'\xb8e\xb7\x0c',2617
b'\x1d\xb9\x7f\xd3',2568
"b'\x06\x88,\x96'",2548
b'\xc9&\xf8\x83',2540
b'+?\x82\xd6',2532
b'@h\x07v',2531
b'E\x0c\xd1K',2529
b'\x9b\xbc<\xeb',2524
b'\xdd\x01b\xde',2511
b'\x90\xbcT\x17',2508
b'\x0c$\x02\x95',2501
b'\x82\x19\x1e\xc0',2498
b'p\x97\xa1\xa3',2474
"b'\x82,X\xab'",2441
b'A\xad4S',2439
b'uT\x80\xd8',2397
b'\xcd\xa9\x980',2383
b'\xd8\x1en\xff',2383
b'\x86\x82d8',2382
b'z\x0c\x8c)',2372
b'Ae\x8a}',2369
b'\x99\xc1\x89\x07',2341
b'\xc5\x16\x7f.',2320
"b""'&\xec\xc2""",2307
b'\xc6X\xdc\xfc',2261
b'+\x1aq\xaf',2257
b'p\xe5\x17 ',2257
"b""\x82'0.""",2229
b'w\xed\x0f\x9c',2223
b'\xdc\x1bP\xc6',2220
b'\xb7\xe8L\xb1',2209
b'\x99\xc1\x96\xf6',2207
b'p\x97\xa1\xa2',2183
b'\x99\xc1\x8f\x14',2168
b'r\x01\xb8p',2157
b'\xc6X\xdc\xed',2141
b'\xcf\x98\xe1s',2136
b'\xd7\xba\xc9\xac',2113
b'e\x10:\xe3',2087
b'\xb7\x9ac\x0c',2086
b'E\x0c\xd5\xed',2079
b'\x82\x05\x1a\xea',2076
b'l\x19\xe6\x88',2073
b'\x92\xf1N#',2050
b'\xca\xe0p\x04',2047
b'\xcf\x88\xd9s',2040
b'p\x7f\xc4\xc1',2034
b'\x99\xc1\x8f\x05',2024
b'z\x08\xb1B',2023
b'\xd2\x1d<\xb0',2001
b'\xce\x96]\xca',1992
b'f\x06\x9c\xc0',1979
b'\xcc\xc0(X',1956
b'{\xecL\x9b',1946
b'\x80&F\xb4',1945
b'c9\xbb[',1944
b'\x7f\xd31+',1941
b'c9\xbbt',1913
b'\xc6X\xdd-',1896
b'~b0\x96',1887
b'q\xaa\xc4V',1883
b'\x99\xc1\x96\xf4',1883
b'p\x97\xa1\x81',1881
"b'\xcc\xc0`""'",1880
b'c9\xbbP',1877
