0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8583,8090,4056,4752,8062,5088,5544,12034,7062,3577,6173,8434,12160,11448,5799,7425
5684,3625,4371,9856,5373,4664,15371,7264,4535,9090,13328,21637,6923,8319,12182,8870
5277,9581,9704,11299,11778,8064,17418,5993,12515,18980,24010,13024,18506,5372,11631,6007
10764,8047,7720,9936,5765,8453,7032,14264,10451,18656,10573,3940,9257,6748,4963,33182
16883,8666,12268,6880,12112,5737,7478,15539,8381,13346,6898,13684,6594,7690,9796,8315
6724,4719,3518,16091,5826,31606,9191,12341,14678,12175,5737,11446,11716,25248,4161,4828
24716,10345,6568,10496,3610,12566,6749,8603,6170,15503,7897,8662,11058,8453,5832,8071
11490,6973,4814,3264,11987,4445,3536,6203,3269,5635,13472,7415,19440,5578,7205,9421
7983,5465,34564,9033,7730,5045,7671,4461,9440,6882,25165,17058,7033,4888,6778,7399
3663,5790,9921,9280,6450,17414,5103,7645,21556,5713,9363,5567,12985,6758,10139,4883
28191,13491,18437,8010,9326,5594,10591,8819,4170,4692,17397,12502,10386,44319,4421,13551
13779,8354,6042,13382,7161,22576,8798,13794,13083,5735,13576,15349,6929,7756,6341,5771
7088,31906,5467,12719,4810,14750,6683,7874,17526,10274,8643,7425,8877,5271,8617,6962
6558,13534,5261,4778,8658,5095,5788,18150,18725,4918,5396,3946,7921,5627,3265,5254
4180,4467,5314,24200,15113,4413,3507,7300,8908,3306,5385,24201,12444,6980,14375,13871
11452,17987,9637,8415,7500,6268,6155,5426,7349,6425,4756,7754,14190,9317,9269,4883
11100,3925,8564,4831,9404,12961,12357,7214,4526,7436,6369,7533,9220,4441,9362,5607
6058,21185,6425,6647,7860,7065,12392,3922,4706,4800,5508,5555,6130,19055,8109,7321
5438,5210,9960,10224,5930,16473,8720,7080,4940,5874,8655,8503,3001,13176,7212,11212
6609,4974,2743,4057,10050,6497,3592,5518,7548,4787,4629,8900,5050,7883,8606,8092
10291,4811,8506,6079,4465,9275,4962,13643,6496,5017,14752,6946,12171,16682,87831,14556
3339,3981,12866,4317,11862,15417,3811,9885,9980,23301,8257,7909,6781,7285,12808,20678
4013,4863,8101,14122,27803,8361,5123,5316,4451,4325,10413,5513,5900,6738,6775,6226
8313,9879,4700,6845,13210,11740,5684,11443,13544,8167,6614,15535,27147,3425,6216,5713
6350,19768,20520,21208,8222,7409,6188,4894,9786,7826,8789,2958,5146,10213,12036,15128
11151,8781,10207,9278,20533,16355,10009,8460,3292,5189,11842,10981,9106,7322,6888,5831
5552,7049,14236,9135,5772,7259,15688,5379,9084,3682,6480,6030,8567,4730,14588,4446
9514,11595,11614,5821,10470,6083,5789,10140,39676,6963,4686,12896,12906,9929,15027,4835
9929,10635,7986,8156,4012,5160,13780,7235,7338,4519,12355,10654,7548,10884,11928,8745
5940,8175,7483,11001,13967,8485,5910,11214,6126,3298,6699,3858,8076,4072,4704,8057
7623,9198,7164,13649,3452,6664,10379,7799,9953,6788,5678,4536,5039,5522,5199,5801
6331,14903,10454,7882,7667,9727,24014,16139,5652,6038,13075,11180,12126,22981,7326,13386
7029,6034,5375,6359,6687,6258,4439,8643,7730,10800,6657,6051,7616,8765,13664,6234
5556,14960,4556,11282,8110,5054,9813,25075,4829,5378,11082,7756,6320,10490,4683,11606
4971,5605,17238,4549,4280,27776,6358,8014,6571,23991,5841,12235,9788,17207,4512,4310
7745,12435,9167,15219,2827,6750,10732,5830,4693,4437,4426,10418,14723,6430,12571,8334
11133,5132,3248,12841,3628,5697,20279,19081,5459,7595,8375,12309,14338,9420,10393,23073
4539,8830,4527,8213,12543,19670,10738,5953,6327,4823,26691,14384,8314,10776,4644,25206
11124,8471,12886,6064,15063,7679,4518,5313,9386,5620,12799,9946,5885,9411,13043,6871
4789,3421,4945,4531,5531,7169,7182,7261,10358,9658,4142,8605,8622,6543,3173,4644
10418,7145,7839,12564,11504,14514,16371,7610,6268,8865,13223,12634,3956,7248,6697,12913
5681,8332,8877,7668,8780,10375,8511,8829,8622,13016,6060,16812,3867,7993,3841,12313
5521,8495,12262,7160,6952,6640,4886,9293,8379,4448,10488,6597,6183,5209,9806,9767
3927,5764,4022,5072,17434,8315,18449,11697,12324,8824,6252,4854,7966,7324,3759,3477
10692,7130,4856,4348,12131,12347,9054,3284,4986,31382,4276,8226,7787,6817,11745,6079
8009,8912,12411,27035,11758,3983,7738,18703,13020,7572,4524,18040,5122,6967,6952,11549
7067,5493,8795,8609,11173,7980,5691,6994,21527,7786,14236,16740,4435,4980,5727,7484
6503,23559,14634,4833,16471,16827,11511,5642,9937,4831,4684,6776,11538,13745,4570,19625
5361,20743,5411,12612,7074,5857,4342,10744,9150,6561,18285,5898,5348,3896,10287,17162
7268,11312,8709,12034,9746,3225,6345,7904,5884,8352,5266,4242,10770,11391,5051,5314
7991,7963,9714,10929,7071,5553,7297,8690,7018,7902,7407,6758,11176,20371,8453,7895
8142,7612,9364,3765,14297,4290,9335,8088,6158,7556,7783,7770,6307,8582,6785,4335
10443,11262,8197,3868,6925,3854,7077,8140,4920,7155,6118,5750,3256,4555,7518,7037
7842,7024,14068,7437,7367,6622,8520,9222,8917,8398,12463,8481,6846,12359,12171,4657
17511,4761,9297,7073,21412,6980,19540,8566,10049,9923,5694,4948,13539,4610,7958,4238
10908,13143,19506,6887,6221,5711,5979,7331,10496,7915,16520,14423,4385,13136,7202,6551
16699,13211,11981,6809,12771,5214,6256,4651,6764,7388,9169,11328,8585,5016,9461,5503
